date_id,date,year,month,day,weekday,quarter
1,2010-12-01,2010,12,1,Wednesday,4
2,2010-12-02,2010,12,2,Thursday,4
3,2010-12-03,2010,12,3,Friday,4
4,2010-12-05,2010,12,5,Sunday,4
5,2010-12-06,2010,12,6,Monday,4
6,2010-12-07,2010,12,7,Tuesday,4
7,2010-12-08,2010,12,8,Wednesday,4
8,2010-12-09,2010,12,9,Thursday,4
9,2010-12-10,2010,12,10,Friday,4
10,2010-12-12,2010,12,12,Sunday,4
11,2010-12-13,2010,12,13,Monday,4
12,2010-12-14,2010,12,14,Tuesday,4
13,2010-12-15,2010,12,15,Wednesday,4
14,2010-12-16,2010,12,16,Thursday,4
15,2010-12-17,2010,12,17,Friday,4
16,2010-12-19,2010,12,19,Sunday,4
17,2010-12-20,2010,12,20,Monday,4
18,2010-12-21,2010,12,21,Tuesday,4
19,2010-12-22,2010,12,22,Wednesday,4
20,2010-12-23,2010,12,23,Thursday,4
21,2011-01-04,2011,1,4,Tuesday,1
22,2011-01-05,2011,1,5,Wednesday,1
23,2011-01-06,2011,1,6,Thursday,1
24,2011-01-07,2011,1,7,Friday,1
25,2011-01-09,2011,1,9,Sunday,1
26,2011-01-10,2011,1,10,Monday,1
27,2011-01-11,2011,1,11,Tuesday,1
28,2011-01-12,2011,1,12,Wednesday,1
29,2011-01-13,2011,1,13,Thursday,1
30,2011-01-14,2011,1,14,Friday,1
31,2011-01-16,2011,1,16,Sunday,1
32,2011-01-17,2011,1,17,Monday,1
33,2011-01-18,2011,1,18,Tuesday,1
34,2011-01-19,2011,1,19,Wednesday,1
35,2011-01-20,2011,1,20,Thursday,1
36,2011-01-21,2011,1,21,Friday,1
37,2011-01-23,2011,1,23,Sunday,1
38,2011-01-24,2011,1,24,Monday,1
39,2011-01-25,2011,1,25,Tuesday,1
40,2011-01-26,2011,1,26,Wednesday,1
41,2011-01-27,2011,1,27,Thursday,1
42,2011-01-28,2011,1,28,Friday,1
43,2011-01-30,2011,1,30,Sunday,1
44,2011-01-31,2011,1,31,Monday,1
45,2011-02-01,2011,2,1,Tuesday,1
46,2011-02-02,2011,2,2,Wednesday,1
47,2011-02-03,2011,2,3,Thursday,1
48,2011-02-04,2011,2,4,Friday,1
49,2011-02-06,2011,2,6,Sunday,1
50,2011-02-07,2011,2,7,Monday,1
51,2011-02-08,2011,2,8,Tuesday,1
52,2011-02-09,2011,2,9,Wednesday,1
53,2011-02-10,2011,2,10,Thursday,1
54,2011-02-11,2011,2,11,Friday,1
55,2011-02-13,2011,2,13,Sunday,1
56,2011-02-14,2011,2,14,Monday,1
57,2011-02-15,2011,2,15,Tuesday,1
58,2011-02-16,2011,2,16,Wednesday,1
59,2011-02-17,2011,2,17,Thursday,1
60,2011-02-18,2011,2,18,Friday,1
61,2011-02-20,2011,2,20,Sunday,1
62,2011-02-21,2011,2,21,Monday,1
63,2011-02-22,2011,2,22,Tuesday,1
64,2011-02-23,2011,2,23,Wednesday,1
65,2011-02-24,2011,2,24,Thursday,1
66,2011-02-25,2011,2,25,Friday,1
67,2011-02-27,2011,2,27,Sunday,1
68,2011-02-28,2011,2,28,Monday,1
69,2011-03-01,2011,3,1,Tuesday,1
70,2011-03-02,2011,3,2,Wednesday,1
71,2011-03-03,2011,3,3,Thursday,1
72,2011-03-04,2011,3,4,Friday,1
73,2011-03-06,2011,3,6,Sunday,1
74,2011-03-07,2011,3,7,Monday,1
75,2011-03-08,2011,3,8,Tuesday,1
76,2011-03-09,2011,3,9,Wednesday,1
77,2011-03-10,2011,3,10,Thursday,1
78,2011-03-11,2011,3,11,Friday,1
79,2011-03-13,2011,3,13,Sunday,1
80,2011-03-14,2011,3,14,Monday,1
81,2011-03-15,2011,3,15,Tuesday,1
82,2011-03-16,2011,3,16,Wednesday,1
83,2011-03-17,2011,3,17,Thursday,1
84,2011-03-18,2011,3,18,Friday,1
85,2011-03-20,2011,3,20,Sunday,1
86,2011-03-21,2011,3,21,Monday,1
87,2011-03-22,2011,3,22,Tuesday,1
88,2011-03-23,2011,3,23,Wednesday,1
89,2011-03-24,2011,3,24,Thursday,1
90,2011-03-25,2011,3,25,Friday,1
91,2011-03-27,2011,3,27,Sunday,1
92,2011-03-28,2011,3,28,Monday,1
93,2011-03-29,2011,3,29,Tuesday,1
94,2011-03-30,2011,3,30,Wednesday,1
95,2011-03-31,2011,3,31,Thursday,1
96,2011-04-01,2011,4,1,Friday,2
97,2011-04-03,2011,4,3,Sunday,2
98,2011-04-04,2011,4,4,Monday,2
99,2011-04-05,2011,4,5,Tuesday,2
100,2011-04-06,2011,4,6,Wednesday,2
101,2011-04-07,2011,4,7,Thursday,2
102,2011-04-08,2011,4,8,Friday,2
103,2011-04-10,2011,4,10,Sunday,2
104,2011-04-11,2011,4,11,Monday,2
105,2011-04-12,2011,4,12,Tuesday,2
106,2011-04-13,2011,4,13,Wednesday,2
107,2011-04-14,2011,4,14,Thursday,2
108,2011-04-15,2011,4,15,Friday,2
109,2011-04-17,2011,4,17,Sunday,2
110,2011-04-18,2011,4,18,Monday,2
111,2011-04-19,2011,4,19,Tuesday,2
112,2011-04-20,2011,4,20,Wednesday,2
113,2011-04-21,2011,4,21,Thursday,2
114,2011-04-26,2011,4,26,Tuesday,2
115,2011-04-27,2011,4,27,Wednesday,2
116,2011-04-28,2011,4,28,Thursday,2
117,2011-05-01,2011,5,1,Sunday,2
118,2011-05-03,2011,5,3,Tuesday,2
119,2011-05-04,2011,5,4,Wednesday,2
120,2011-05-05,2011,5,5,Thursday,2
121,2011-05-06,2011,5,6,Friday,2
122,2011-05-08,2011,5,8,Sunday,2
123,2011-05-09,2011,5,9,Monday,2
124,2011-05-10,2011,5,10,Tuesday,2
125,2011-05-11,2011,5,11,Wednesday,2
126,2011-05-12,2011,5,12,Thursday,2
127,2011-05-13,2011,5,13,Friday,2
128,2011-05-15,2011,5,15,Sunday,2
129,2011-05-16,2011,5,16,Monday,2
130,2011-05-17,2011,5,17,Tuesday,2
131,2011-05-18,2011,5,18,Wednesday,2
132,2011-05-19,2011,5,19,Thursday,2
133,2011-05-20,2011,5,20,Friday,2
134,2011-05-22,2011,5,22,Sunday,2
135,2011-05-23,2011,5,23,Monday,2
136,2011-05-24,2011,5,24,Tuesday,2
137,2011-05-25,2011,5,25,Wednesday,2
138,2011-05-26,2011,5,26,Thursday,2
139,2011-05-27,2011,5,27,Friday,2
140,2011-05-29,2011,5,29,Sunday,2
141,2011-05-31,2011,5,31,Tuesday,2
142,2011-06-01,2011,6,1,Wednesday,2
143,2011-06-02,2011,6,2,Thursday,2
144,2011-06-03,2011,6,3,Friday,2
145,2011-06-05,2011,6,5,Sunday,2
146,2011-06-06,2011,6,6,Monday,2
147,2011-06-07,2011,6,7,Tuesday,2
148,2011-06-08,2011,6,8,Wednesday,2
149,2011-06-09,2011,6,9,Thursday,2
150,2011-06-10,2011,6,10,Friday,2
151,2011-06-12,2011,6,12,Sunday,2
152,2011-06-13,2011,6,13,Monday,2
153,2011-06-14,2011,6,14,Tuesday,2
154,2011-06-15,2011,6,15,Wednesday,2
155,2011-06-16,2011,6,16,Thursday,2
156,2011-06-17,2011,6,17,Friday,2
157,2011-06-19,2011,6,19,Sunday,2
158,2011-06-20,2011,6,20,Monday,2
159,2011-06-21,2011,6,21,Tuesday,2
160,2011-06-22,2011,6,22,Wednesday,2
161,2011-06-23,2011,6,23,Thursday,2
162,2011-06-24,2011,6,24,Friday,2
163,2011-06-26,2011,6,26,Sunday,2
164,2011-06-27,2011,6,27,Monday,2
165,2011-06-28,2011,6,28,Tuesday,2
166,2011-06-29,2011,6,29,Wednesday,2
167,2011-06-30,2011,6,30,Thursday,2
168,2011-07-01,2011,7,1,Friday,3
169,2011-07-03,2011,7,3,Sunday,3
170,2011-07-04,2011,7,4,Monday,3
171,2011-07-05,2011,7,5,Tuesday,3
172,2011-07-06,2011,7,6,Wednesday,3
173,2011-07-07,2011,7,7,Thursday,3
174,2011-07-08,2011,7,8,Friday,3
175,2011-07-10,2011,7,10,Sunday,3
176,2011-07-11,2011,7,11,Monday,3
177,2011-07-12,2011,7,12,Tuesday,3
178,2011-07-13,2011,7,13,Wednesday,3
179,2011-07-14,2011,7,14,Thursday,3
180,2011-07-15,2011,7,15,Friday,3
181,2011-07-17,2011,7,17,Sunday,3
182,2011-07-18,2011,7,18,Monday,3
183,2011-07-19,2011,7,19,Tuesday,3
184,2011-07-20,2011,7,20,Wednesday,3
185,2011-07-21,2011,7,21,Thursday,3
186,2011-07-22,2011,7,22,Friday,3
187,2011-07-24,2011,7,24,Sunday,3
188,2011-07-25,2011,7,25,Monday,3
189,2011-07-26,2011,7,26,Tuesday,3
190,2011-07-27,2011,7,27,Wednesday,3
191,2011-07-28,2011,7,28,Thursday,3
192,2011-07-29,2011,7,29,Friday,3
193,2011-07-31,2011,7,31,Sunday,3
194,2011-08-01,2011,8,1,Monday,3
195,2011-08-02,2011,8,2,Tuesday,3
196,2011-08-03,2011,8,3,Wednesday,3
197,2011-08-04,2011,8,4,Thursday,3
198,2011-08-05,2011,8,5,Friday,3
199,2011-08-07,2011,8,7,Sunday,3
200,2011-08-08,2011,8,8,Monday,3
201,2011-08-09,2011,8,9,Tuesday,3
202,2011-08-10,2011,8,10,Wednesday,3
203,2011-08-11,2011,8,11,Thursday,3
204,2011-08-12,2011,8,12,Friday,3
205,2011-08-14,2011,8,14,Sunday,3
206,2011-08-15,2011,8,15,Monday,3
207,2011-08-16,2011,8,16,Tuesday,3
208,2011-08-17,2011,8,17,Wednesday,3
209,2011-08-18,2011,8,18,Thursday,3
210,2011-08-19,2011,8,19,Friday,3
211,2011-08-21,2011,8,21,Sunday,3
212,2011-08-22,2011,8,22,Monday,3
213,2011-08-23,2011,8,23,Tuesday,3
214,2011-08-24,2011,8,24,Wednesday,3
215,2011-08-25,2011,8,25,Thursday,3
216,2011-08-26,2011,8,26,Friday,3
217,2011-08-28,2011,8,28,Sunday,3
218,2011-08-30,2011,8,30,Tuesday,3
219,2011-08-31,2011,8,31,Wednesday,3
220,2011-09-01,2011,9,1,Thursday,3
221,2011-09-02,2011,9,2,Friday,3
222,2011-09-04,2011,9,4,Sunday,3
223,2011-09-05,2011,9,5,Monday,3
224,2011-09-06,2011,9,6,Tuesday,3
225,2011-09-07,2011,9,7,Wednesday,3
226,2011-09-08,2011,9,8,Thursday,3
227,2011-09-09,2011,9,9,Friday,3
228,2011-09-11,2011,9,11,Sunday,3
229,2011-09-12,2011,9,12,Monday,3
230,2011-09-13,2011,9,13,Tuesday,3
231,2011-09-14,2011,9,14,Wednesday,3
232,2011-09-15,2011,9,15,Thursday,3
233,2011-09-16,2011,9,16,Friday,3
234,2011-09-18,2011,9,18,Sunday,3
235,2011-09-19,2011,9,19,Monday,3
236,2011-09-20,2011,9,20,Tuesday,3
237,2011-09-21,2011,9,21,Wednesday,3
238,2011-09-22,2011,9,22,Thursday,3
239,2011-09-23,2011,9,23,Friday,3
240,2011-09-25,2011,9,25,Sunday,3
241,2011-09-26,2011,9,26,Monday,3
242,2011-09-27,2011,9,27,Tuesday,3
243,2011-09-28,2011,9,28,Wednesday,3
244,2011-09-29,2011,9,29,Thursday,3
245,2011-09-30,2011,9,30,Friday,3
246,2011-10-02,2011,10,2,Sunday,4
247,2011-10-03,2011,10,3,Monday,4
248,2011-10-04,2011,10,4,Tuesday,4
249,2011-10-05,2011,10,5,Wednesday,4
250,2011-10-06,2011,10,6,Thursday,4
251,2011-10-07,2011,10,7,Friday,4
252,2011-10-09,2011,10,9,Sunday,4
253,2011-10-10,2011,10,10,Monday,4
254,2011-10-11,2011,10,11,Tuesday,4
255,2011-10-12,2011,10,12,Wednesday,4
256,2011-10-13,2011,10,13,Thursday,4
257,2011-10-14,2011,10,14,Friday,4
258,2011-10-16,2011,10,16,Sunday,4
259,2011-10-17,2011,10,17,Monday,4
260,2011-10-18,2011,10,18,Tuesday,4
261,2011-10-19,2011,10,19,Wednesday,4
262,2011-10-20,2011,10,20,Thursday,4
263,2011-10-21,2011,10,21,Friday,4
264,2011-10-23,2011,10,23,Sunday,4
265,2011-10-24,2011,10,24,Monday,4
266,2011-10-25,2011,10,25,Tuesday,4
267,2011-10-26,2011,10,26,Wednesday,4
268,2011-10-27,2011,10,27,Thursday,4
269,2011-10-28,2011,10,28,Friday,4
270,2011-10-30,2011,10,30,Sunday,4
271,2011-10-31,2011,10,31,Monday,4
272,2011-11-01,2011,11,1,Tuesday,4
273,2011-11-02,2011,11,2,Wednesday,4
274,2011-11-03,2011,11,3,Thursday,4
275,2011-11-04,2011,11,4,Friday,4
276,2011-11-06,2011,11,6,Sunday,4
277,2011-11-07,2011,11,7,Monday,4
278,2011-11-08,2011,11,8,Tuesday,4
279,2011-11-09,2011,11,9,Wednesday,4
280,2011-11-10,2011,11,10,Thursday,4
281,2011-11-11,2011,11,11,Friday,4
282,2011-11-13,2011,11,13,Sunday,4
283,2011-11-14,2011,11,14,Monday,4
284,2011-11-15,2011,11,15,Tuesday,4
285,2011-11-16,2011,11,16,Wednesday,4
286,2011-11-17,2011,11,17,Thursday,4
287,2011-11-18,2011,11,18,Friday,4
288,2011-11-20,2011,11,20,Sunday,4
289,2011-11-21,2011,11,21,Monday,4
290,2011-11-22,2011,11,22,Tuesday,4
291,2011-11-23,2011,11,23,Wednesday,4
292,2011-11-24,2011,11,24,Thursday,4
293,2011-11-25,2011,11,25,Friday,4
294,2011-11-27,2011,11,27,Sunday,4
295,2011-11-28,2011,11,28,Monday,4
296,2011-11-29,2011,11,29,Tuesday,4
297,2011-11-30,2011,11,30,Wednesday,4
298,2011-12-01,2011,12,1,Thursday,4
299,2011-12-02,2011,12,2,Friday,4
300,2011-12-04,2011,12,4,Sunday,4
301,2011-12-05,2011,12,5,Monday,4
302,2011-12-06,2011,12,6,Tuesday,4
303,2011-12-07,2011,12,7,Wednesday,4
304,2011-12-08,2011,12,8,Thursday,4
305,2011-12-09,2011,12,9,Friday,4
